iter	Passed	Remaining
377	7694	2483
378	7714	2462
379	7732	2441
380	7752	2421
381	7771	2400
382	7792	2380
383	7812	2360
384	7832	2339
385	7851	2318
386	7871	2298
387	7890	2277
388	7910	2257
389	7929	2236
390	7949	2216
391	7967	2195
392	7986	2174
393	8008	2154
394	8029	2134
395	8048	2113
396	8066	2092
397	8084	2071
398	8106	2051
399	8127	2031
400	8147	2011
401	8165	1990
402	8184	1969
403	8201	1948
404	8220	1928
405	8242	1908
406	8259	1887
407	8278	1866
408	8297	1846
409	8317	1825
410	8337	1805
411	8355	1784
412	8374	1764
413	8394	1743
414	8414	1723
415	8433	1702
416	8452	1682
417	8474	1662
418	8493	1641
419	8513	1621
420	8532	1601
421	8551	1580
422	8571	1560
423	8587	1539
424	8606	1518
425	8626	1498
426	8647	1478
427	8668	1458
428	8686	1437
429	8706	1417
430	8729	1397
431	8750	1377
432	8771	1357
433	8791	1336
434	8811	1316
435	8833	1296
436	8851	1276
437	8871	1255
438	8891	1235
439	8909	1214
440	8929	1194
441	8948	1174
442	8969	1154
443	8988	1133
444	9007	1113
445	9027	1093
446	9046	1072
447	9065	1052
448	9086	1032
449	9106	1011
450	9128	991
451	9148	971
452	9167	951
453	9189	931
454	9207	910
455	9228	890
456	9248	870
457	9266	849
458	9285	829
459	9308	809
460	9324	788
461	9342	768
462	9361	748
463	9381	727
464	9399	707
465	9419	687
466	9439	667
467	9459	646
468	9479	626
469	9499	606
470	9517	586
471	9538	565
472	9557	545
473	9577	525
474	9598	505
475	9617	484
476	9638	464
477	9659	444
478	9678	424
479	9698	404
480	9717	383
481	9736	363
482	9753	343
483	9773	323
484	9792	302
485	9808	282
486	9829	262
487	9849	242
488	9871	222
489	9890	201
490	9911	181
491	9930	161
492	9949	141
493	9968	121
494	9986	100
495	10005	80
496	10026	60
497	10046	40
498	10065	20
499	10085	0
