iter	Logloss
222	0.3670120152
223	0.366975752
224	0.3669486164
225	0.3669240659
226	0.3668933007
227	0.3668582528
228	0.3668364651
229	0.3668137924
230	0.3667840964
231	0.3667722124
232	0.3667429503
233	0.3667023014
234	0.3666631854
235	0.3666357704
236	0.3666045801
237	0.3665794088
238	0.3665592448
239	0.366536374
240	0.3665051384
241	0.3664650813
242	0.3664217515
243	0.3663890678
244	0.3663493102
245	0.3663156923
246	0.366280991
247	0.3662501206
248	0.3662132329
249	0.3661804507
250	0.3661494474
251	0.3661164517
252	0.3660920277
253	0.3660503935
254	0.3660301579
255	0.3659873901
256	0.3659472066
257	0.3659215386
258	0.3658943349
259	0.365842911
260	0.3658175839
261	0.3657977709
262	0.3657660413
263	0.3657360697
264	0.365696515
265	0.365662649
266	0.3656324576
267	0.3655794435
268	0.3655540165
269	0.3655365519
270	0.3654935541
271	0.3654613788
272	0.365433285
273	0.3653874518
274	0.3653528147
275	0.3653224264
276	0.3652788829
277	0.3652577542
278	0.3652342977
279	0.3652123263
280	0.3651685455
281	0.3651190257
282	0.365068482
283	0.365026933
284	0.3650023769
285	0.3649858431
286	0.3649524407
287	0.364926516
288	0.3648900999
289	0.3648411927
290	0.3648141507
291	0.3647843636
292	0.3647419832
293	0.3647018864
294	0.3646968094
295	0.3646612832
296	0.3646553107
297	0.3646131588
298	0.3645935261
299	0.3645650675
300	0.3645154127
301	0.3644973587
302	0.3644812242
303	0.3644446543
304	0.3644205834
305	0.3643935645
306	0.3643727385
307	0.3643333309
308	0.3643044097
309	0.3642718077
310	0.3642198656
311	0.3641886237
312	0.3641659848
313	0.3641152389
314	0.3640775404
315	0.3640275281
316	0.3639988729
317	0.3639803641
318	0.36393868
319	0.3639158072
320	0.3638824099
321	0.3638482915
322	0.3638236346
323	0.3637855157
324	0.3637411436
325	0.3637014468
326	0.3636711378
327	0.3636393884
328	0.3636098452
329	0.36359424
330	0.3635571305
331	0.3635396759
332	0.3635042531
333	0.3635024128
334	0.3634744726
335	0.3634468627
336	0.3634214006
337	0.3633851511
338	0.3633572304
339	0.3633294752
340	0.3632812592
341	0.3632654385
342	0.3632276317
343	0.3631902502
344	0.3631663196
345	0.3631604887
346	0.3631539178
347	0.3631107953
348	0.3630936524
349	0.3630927369
350	0.3630655267
351	0.3630251566
352	0.3629910839
353	0.3629531112
354	0.3629477646
355	0.3629425848
356	0.3628898305
357	0.3628539703
358	0.3628306233
359	0.3628073397
360	0.3627691449
361	0.3627357767
362	0.3627024807
363	0.3626604187
364	0.3626267871
365	0.3625905033
366	0.3625668444
367	0.3625312419
368	0.3625114752
369	0.3624821818
370	0.3624509764
371	0.3624333342
372	0.3623872846
373	0.3623566012
374	0.3623260799
375	0.362297779
376	0.3622677869
377	0.3622313765
378	0.3621984823
379	0.3621868467
380	0.3621607881
381	0.3621408813
382	0.3620981691
383	0.3620541635
384	0.3620190457
385	0.3619803706
386	0.3619553059
387	0.3619342695
388	0.3619040245
389	0.3618876468
390	0.3618590736
391	0.3618531443
392	0.3618236392
393	0.3618032864
394	0.361774302
395	0.3617326768
396	0.361710331
397	0.3616933284
398	0.3616574112
399	0.3616285477
400	0.3615903628
401	0.3615752153
402	0.3615296277
403	0.3615286474
404	0.3615122332
405	0.3614798871
406	0.3614791364
407	0.361459071
408	0.3614276223
409	0.3613831473
410	0.3613497792
411	0.3613273601
412	0.3613027997
413	0.361277362
414	0.3612511426
415	0.3612124212
416	0.3611745216
417	0.3611518097
418	0.3611256192
419	0.3610802017
420	0.361049988
421	0.3610081824
422	0.3609713672
423	0.3609697898
424	0.3609508915
425	0.3609192033
426	0.3608781374
427	0.3608402703
428	0.3608227889
429	0.3607833113
430	0.3607459074
431	0.3606965416
432	0.3606613236
433	0.3606370044
434	0.3606036906
435	0.360563117
436	0.3605361411
437	0.3605050282
438	0.3604814102
439	0.3604665195
440	0.3604246864
441	0.3603988835
442	0.3603670304
443	0.3603485091
444	0.3603222028
445	0.3602879121
446	0.3602607367
447	0.3602334558
448	0.3601987991
449	0.3601602838
450	0.3601225104
451	0.3600823948
452	0.3600577437
453	0.3600304424
454	0.3599982408
455	0.3599719088
456	0.3599431551
457	0.3599130096
458	0.3598950821
459	0.3598666879
460	0.3598655803
461	0.3598511119
462	0.3598281957
463	0.35979084
464	0.3597648336
465	0.3597240954
466	0.3597098349
467	0.3596702765
468	0.3596396065
469	0.3596036286
470	0.3595832977
471	0.3595573851
472	0.3595325035
473	0.3595069163
474	0.3594693646
475	0.359446475
476	0.3594122322
477	0.359383109
478	0.3593582002
479	0.3593382775
480	0.3593142392
481	0.3592876952
482	0.3592871369
483	0.3592472854
484	0.3592320646
485	0.3592312978
486	0.3591962799
487	0.359164182
488	0.3591359101
489	0.3591102675
490	0.3590708589
491	0.3590362085
492	0.3590141035
493	0.3589883792
494	0.3589720991
495	0.3589529336
496	0.3589296709
497	0.3589052869
498	0.35887753
499	0.3588524554
